CDORGAO;CDRECEITA;EXERCICIO;FONTE;FONTENOME;MESREFERENCIA;NOMEORGAO;NOMERECEITA;NOME_SECRETARIA;SECRETARIA;VRARRECADADO;VRPREVISTO
02;1112500101;2024;1500000;Recursos não Vinculados de Impostos;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;2234201.75;1633642.36
02;1112500101;2024;1500000;Recursos não Vinculados de Impostos;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;34354184.92;32205535.27
02;1112500101;2024;1500000;Recursos não Vinculados de Impostos;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;29787281.18;52948653.71
02;1112500101;2024;1500000;Recursos não Vinculados de Impostos;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;9048594.17;12766289.39
02;1112500101;2024;1500000;Recursos não Vinculados de Impostos;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;7267442.45;8703349.73
02;1112500101;2024;1500000;Recursos não Vinculados de Impostos;6;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;7423707.27;8389582.04
02;1112500101;2024;1500000;Recursos não Vinculados de Impostos;7;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;7135851.32;8052892.27
02;1112500101;2024;1500000;Recursos não Vinculados de Impostos;8;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;6282063.15;8300221.25
02;1112500101;2024;1500000;Recursos não Vinculados de Impostos;9;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;5924052.83;6058253.84
02;1112500101;2024;1500000;Recursos não Vinculados de Impostos;10;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;5061687.25;5125043.80
02;1112500101;2024;1500000;Recursos não Vinculados de Impostos;11;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;2106213.01;2088769.46
02;1112500101;2024;1500000;Recursos não Vinculados de Impostos;12;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;1332397.39;423974.88
02;1112500102;2024;1500000;Recursos não Vinculados de Impostos;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Territorial Urbana;SECRETARIA MUNICIPAL DE FINANÇAS;06;353860.62;214861.74
02;1112500102;2024;1500000;Recursos não Vinculados de Impostos;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Territorial Urbana;SECRETARIA MUNICIPAL DE FINANÇAS;06;6777151.79;5512265.95
02;1112500102;2024;1500000;Recursos não Vinculados de Impostos;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Territorial Urbana;SECRETARIA MUNICIPAL DE FINANÇAS;06;5141724.88;8082936.64
02;1112500102;2024;1500000;Recursos não Vinculados de Impostos;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Territorial Urbana;SECRETARIA MUNICIPAL DE FINANÇAS;06;1010895.08;1409363.85
02;1112500102;2024;1500000;Recursos não Vinculados de Impostos;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Territorial Urbana;SECRETARIA MUNICIPAL DE FINANÇAS;06;646091.70;829050.11
